"tipo_lista";"nome_lista";"numero";"nome_incantesimo";"tipologia";"descrizione";"note_lista"
"Liste di incantesimi degli Animisti";"CREAZIONI";"4";"CREAZIONE CIBO";"P";"L'animista può produrre, ricavandolo dalla zona circostante, cibo sufficiente a sfamare una persona per 1 giorno. Il cibo deperisce se non viene consumato entro 24 ore.";""
"Liste di incantesimi degli Animisti";"CREAZIONI";"5";"MURO ACQUEO";"E";"Crea un muro d'acquadi 3x3x0,3m Penalizzadell'80% il movimento e gli attacchi che lo attraversano.";""
"Liste di incantesimi degli Animisti";"CREAZIONI";"6";"MURO LIGNEO";"E";"Crea un muro di legno di 3x6mx0,05cm, che deve poggiare su una superficie solida. Può essere bruciato (50 PF per creare un foro di 60 cm di raggio), scavato (20 round di lavoro di un singolo uomo), oppure abbattuto a terra (se l'altra estremità non poggia ad una parete).";""
"Liste di incantesimi degli Animisti";"CREAZIONI";"7";"MURO";"F";"Come Muro Ligneo, male dimensioni massime del muro sono 3x3x(1malla base, 0,6 metri in cima) ed è fatto di terra compressa. Può essere attraversato solo scavando (10 round di lavoro di un uomo, in cima).";""
"Liste di incantesimi degli Animisti";"CREAZIONI";"8";"MURO GHIACCIO";"E";"Come Muro Ligneo, male dimensioni massime sono 3x3x(0,6 alla base e 0,3 in cima): può essere parzialmente fuso per creare un foro (occorre infliggere 100 PF), scavato (50 round di lavoro di un uomo), o abbattuto (se l'altra estremità non poggia ad una parete).";""
"Liste di incantesimi degli Animisti";"CREAZIONI";"9";"LEMBÁS";"I";"L'animista può produrre una pagnottadi Pan di Via (Lembas) di 56 gr, sufficiente a sfamare un personaggio per un giorno. Il potere magico della pagnotta svanisce dopo un mese.";""
"Liste di incantesimi degli Animisti";"CREAZIONI";"10";"FOSSATO";"E";"Apre una buca (di 15 metri cubinella roccia, di 33 metri cubinella terra o nel ghiaccio), che si deve trovare interamente entro 15m dal personaggio.";""
"Liste di incantesimi dei Maghi";"CRIOMANZIA";"1";"CONGELAMENTO";"F";"Un qualsiasi liquido (33 litri/ LVL) può essere congelato al ritmo di 33 litri/rd di concentrazione (la temperatura non può essere abbassata al di sotto di -35°C). Con questo incantesimo non si possonocongelarei fl uididi qualsiasi essere vivente.";""
"Liste di incantesimi dei Maghi";"CRIOMANZIA";"2";"RAFFREDDAMENTO";"F";"Un qualsiasi materiale solido, inanimato e non metallico (33 DM cubi/LVL) può essere raffreddato fino a -30°C, al ritmo di 33 dm cubi/ Rd di concentrazione.";""
"Liste di incantesimi dei Maghi";"CRIOMANZIA";"3";"MURO FREDDO";"E";"Crea un muro trasparente di freddo intenso, di 3x3x0,3 metri. Chiunque lo attraversi freddo, di tipo subisce (senza possibilità di TR) un Colpo Critico da";""
"Liste di incantesimi dei Maghi";"CRIOMANZIA";"4";"ARIA FREDDA";"E";"La temperatura dell'aria in un ambiente chiuso può essere abbassata di 10°C per ogni round di concentrazione (fino alla temperatura minima di -30°C). L'aria, quando si interrompe la concentrazione ritorna a temperatura ambiente.";""
"Liste di incantesimi dei Maghi";"CRIOMANZIA";"5";"GRANDE RAFFREDDAMENTO";"F";"Come Rafreddamento, ma la temperatura del materiale può essere abbassata fino a -130°C, al ritmo di 75°C per round di concentrazione.";""
"Liste di incantesimi dei Maghi";"CRIOMANZIA";"6";"GELODARDO";"E";"1 PG effettua un attacco a distanza grazie ad un dardo di ghiaccio che saetta dal palmo dellasuamano. Irisultatidell' attaccosideterminanoin base alla Tabella d'attacco ""Dardo"".";""
"Liste di incantesimi dei Maghi";"CRIOMANZIA";"7";"GELOSFERA";"E";"Una sfera di freddo, di 30 cm di diametro, saetta dalla mano del personaggio ed esplole nel punto prescelto: ne resta colpita un'area di 6 netri di raggio. I risultati si determinano in base alla Tabella d'attacco ""Sfera""";""
"Liste di incantesimi dei Maghi";"CRIOMANZIA";"8";"MURO FREDDO";"E";"Crea un muro di ghiaccio di 3x3x0,6 m (0,6 malla base e 0,3 m in cima). Deve poggiare su una superficie solida. Può essere sciolto (se subisce 100 Punti Ferita), attraversato con uno scavo (50 round di lavoro di un uomo) o abbattuto (se una delle due estremità nonè appoggiata ad una parete).";""
"Liste di incantesimi dei Maghi";"CRIOMANZIA";"9";"GELOCUBO";"E";"Come Piro Cubo, della lista Piromanzia, ma crea un cubo di gelo (fino a 6,5x6,5x6,5 m) che infligge Colpi Critici da freddo.";""
"Liste di incantesimi dei Maghi";"CRIOMANZIA";"10";"GELOCERCHIO";"E";"Come Muro Freddo, ma il ""muro"" è alto fi noa 6 metrieformaun cerchio (fi noa 6 metrie spesso 30 cm) con al centro il personaggio che lancia l'incantesimo (il muro non è semovente).";""
"Liste aperte di incantesimi del Flusso";"DIFESA MAGICA";"1";"PROTEZIONE I";"P";"Sottrae 10 punti ai tiri degli attacchi elementali contro il soggetto, ed aggiunge 10 punti a tutti i suoi TR contro incantesimi.";"La forzadi un maleficio, al fine dell' effettuazione di un TR, si considera essere pari al livello del personaggio che lo halanciato."
"Liste aperte di incantesimi del Flusso";"DIFESA MAGICA";"2";"AREA DI PROTEZIONE I";"P";"Come Protezione I, ma quando chi halanciato l'incantesimo si concentra, tutti coloro che si trovano entro 3 metri dalui godono dei suddetti benefici.";"La forzadi un maleficio, al fine dell' effettuazione di un TR, si considera essere pari al livello del personaggio che lo halanciato."
"Liste aperte di incantesimi del Flusso";"DIFESA MAGICA";"3";"NEUTRALIZZA MALEFICIO";"F";"L'incantesimo, per tuttala suadurata, annulla gli effetti di una maledizione; tale maledizione, però, torna pienamente efficace al termine della magia. Il maleficio può ricorrere ad un TR, conunamodi fi cadi -20: se il TRhasuccesso la maledizione non viene neutralizzata.";"La forzadi un maleficio, al fine dell' effettuazione di un TR, si considera essere pari al livello del personaggio che lo halanciato."
"Liste aperte di incantesimi del Flusso";"DIFESA MAGICA";"4";"PROTEZIONE II";"P";"Come Protezione I, madà diritto a bonus e penalità di 20 punti.";"La forzadi un maleficio, al fine dell' effettuazione di un TR, si considera essere pari al livello del personaggio che lo halanciato."
"Liste aperte di incantesimi del Flusso";"DIFESA MAGICA";"5";"AREA DI PROTEZIONE II";"P";"Come Areadi Protezione l, madadiritto a bonus e penalità di 20 punti.";"La forzadi un maleficio, al fine dell' effettuazione di un TR, si considera essere pari al livello del personaggio che lo halanciato."
"Liste aperte di incantesimi del Flusso";"DIFESA MAGICA";"6";"ANNULLA MALEFICIO";"F";"La maledizioneviene annullata se si supera con successo un TR in cui il ""livello del soggetto"" è pari al livello di chi l'ha creata, mentre il ""livello dell'attacco"" è pari al livello di chi lancial'incantesimo. Se chi lancial'incantesimo fallisce nell'intento, non potrà ritentare nuovamente contro la stessa maledizione se non quando sarà progredito di un livello d'esperienza.";"La forzadi un maleficio, al fine dell' effettuazione di un TR, si considera essere pari al livello del personaggio che lo halanciato."
"Liste aperte di incantesimi del Flusso";"DIFESA MAGICA";"7";"NEUTRALIZZA MALEFICIO";"F";"Come sopra, ma annullala maledizione per laduratadi 1hr/livello di chi lancial'incantesimo.";"La forzadi un maleficio, al fine dell' effettuazione di un TR, si considera essere pari al livello del personaggio che lo halanciato."
"Liste aperte di incantesimi del Flusso";"DIFESA MAGICA";"8";"ANNULLA INCANTESIMO";"F";"Come Annulla Maleficio, ma può eliminare gli effetti, tuttora persistenti, di unincantesimo.";"La forzadi un maleficio, al fine dell' effettuazione di un TR, si considera essere pari al livello del personaggio che lo halanciato."
"Liste aperte di incantesimi del Flusso";"DIFESA MAGICA";"9";"PROTEZIONE III";"P";"Come Protezione I madà diritto a bonus e penalità di 30 punti.";"La forzadi un maleficio, al fine dell' effettuazione di un TR, si considera essere pari al livello del personaggio che lo halanciato."
"Liste aperte di incantesimi del Flusso";"DIFESA MAGICA";"10";"AREA DI PROTEZIONE III";"P";"Come Areadi Protezione I, madà diritto a bonus e penalità di 30 punti.";"La forzadi un maleficio, al fine dell' effettuazione di un TR, si considera essere pari al livello del personaggio che lo halanciato."
"Liste aperte di incantesimi del Flusso";"ECOMANZIA";"1";"CAPTA TRAPPOLE";"P";"1 personaggio ha il 75% di probabilità di individuare ogni singola trappola allinterno di una zonadi 2 metri di raggio che sia, comunque, all'aria aperta. Può esaminare, una zonadiversa sempre di 2 metri di raggio), ad ogni Round ECOPERCEZIONE (I): Chilanciaquestoincantesimo entra in comunicazione extrasensoriale con gli esseri riventi (piante o animali) della zona. Ciò gli consente di percepire le attività che si svolgono nella zona (cioè movimenti, combattimenti e manovre). L'incantesimo può essere usato solo se nel raggio d'azione ci sono";""
"Liste aperte di incantesimi del Flusso";"ECOMANZIA";"2";"ECOPERCEZIONE";"I";"Chi lancia questo incantesimo entra in comunicazione extrasensoriale con gli esseri viventi (piante o animali) della zona. Ciò gli consente di percepire le attività che si svolgono nella zona (cioè movimenti, combattimenti e manovre).";""
"Liste aperte di incantesimi del Flusso";"ECOMANZIA";"3";"PREDIZIONE TEMPESTE";"I";"Dà al personaggio il 95% di probabilità di predire il momento ed il tipo di ogni perturbazione (temporale o tempesta), nelle 24 ore successive.";""
"Liste aperte di incantesimi del Flusso";"ECOMANZIA";"4";"METEREOLOGIA";"I";"Come Predizione Tempeste, mala previsione si estende ad ogni tipo di condizione atmosferica.";""
"Liste aperte di incantesimi del Flusso";"ECOMANZIA";"5";"ECOPERCEZIONE";"I";"Come sopra, ma il raggio d'azione è di 100 metri.";""
"Liste aperte di incantesimi del Flusso";"ECOMANZIA";"6";"BREZZA";"F";"Una brezza abbastanza sostenuta si originadal personaggio, verso unadirezione prestabilita. Trascina via ogni materiale sospeso in aria o gassoso (polvere, nubi, ecc.) e penalizzadi 30 punti ogni attacco con proiettili che la attraversa. La brezza ha una velocità di 16 Km/h ed interessa una zonadi forma conica, col personaggio al vertice ed un diametro alla base di 6,5 metri.";""
"Liste aperte di incantesimi del Flusso";"ECOMANZIA";"7";"PERCEZIONE DIFFERITA";"I";"Come Ecopercezione, ma il personaggiopuòpredisporrel' incantesimocon uno speciale ""allarme"" magico. Viene infatti immediatamente avvisato di ogni attività animata che si svolga nella zona.";""
"Liste aperte di incantesimi del Flusso";"ECOMANZIA";"8";"FOSCHIA";"I";"Crea un nebbione naturale internamente d'azione è di 170 metri.";""
"Liste aperte di incantesimi del Flusso";"ECOMANZIA";"9";"FOSCHIA";"I";"Come sopra, ma il raggio d'azione è di 170 metri.";""
"Liste aperte di incantesimi del Flusso";"ECOMANZIA";"10";"METEREOLOGIA (1)";"Come sopra, mala predizione si estende ad un periodo di 1 giorno/ livello.";"";""
"Liste di incantesimi degli Animisti";"EMORIGENERAZIONE";"1";"COAGULAZIONE";"A";"La perditadi sangue viene rallentata, perciò la perditadei Punti Ferita/round diminuisce di 1. Se nell'ora successiva il soggetto combatte o corre, la ferita si riapre e la perditadi sangue assume dinuovo i valori originali.";""
"Liste di incantesimi degli Animisti";"EMORIGENERAZIONE";"2";"RIMARGINAZIONE";"A";"La perditadi sangue del soggetto (Punti Ferita/round) diminuisce di 1.";""
"Liste di incantesimi degli Animisti";"EMORIGENERAZIONE";"3";"CURA EMORRAGIE";"A";"La perditadi sangue del soggetto (PF/round) diminuisce di 3, in conseguenzadella cicatrizzazione delle ferite di media entità. L'incantesimo è inefficace contro i danni a vene ed arterie principali (cioè, contro le ferite che comportano 5 o più PF/round)";""
"Liste di incantesimi degli Animisti";"EMORIGENERAZIONE";"4";"COAGULAZIONE V";"A";"come Coagulazione I, mala perditadi sangue (PF/round) diminuisce di 5.";""
"Liste di incantesimi degli Animisti";"EMORIGENERAZIONE";"5";"RIMARGINAZIONE III";"A";"Come Rimarginazione I, mala perditadi sangue diminuisce di 3.";""
"Liste di incantesimi degli Animisti";"EMORIGENERAZIONE";"6";"CURA EMORRAGIE GRAVI";"A";"Cura tutti i danni gravi causati dal taglio di una vena o una arteria (si definiscono ""gravi"" i danni che comportano 5o più PF/ round).";""
"Liste di incantesimi degli Animisti";"EMORIGENERAZIONE";"7";"REUNIONE";"A*";"Usato insieme con gli incantesimi Reunione delle altre liste di guarigione (Fisiorigenerazione e Rigenerazione Organica), consente di riattaccare un arto amputato. Il tempo di guarigione è di 1D10 giorni.";""
"Liste di incantesimi degli Animisti";"EMORIGENERAZIONE";"8";"TRASFUSIONE";"A";"L'animista può trasfondere mezzo litro di sangue da un donatore volontario (o privo di sensi) ad un altro personaggio (che sia soggetto ad una emorragia, cioè aver subito un Colpo Critico che infligge PF/round). Deve porre una mano sul donatore e l'altra sul ferito. Il donatore deve appartenere alla stessa specie di chi riceve la trasfusione. Ogni mezzo litro cura 50 PF del ferito, mentre il donatore subisce una penalità di -20 alle attività per le successive 12 ore. Nessun personaggio può essere primadonatore e poi trasfuso, o viceversa, nel volgere di 12 ore.";""
"Liste di incantesimi degli Animisti";"EMORIGENERAZIONE";"9";"GRANDE COAGULAZIONE";"A";"Come Coagulazione l, mala perditadi sangue (PF/round) del soggetto si riduce di un ammontare pari al livello dell'animista.";""
"Liste di incantesimi degli Animisti";"EMORIGENERAZIONE";"10";"GRANDE RIMARGINAZIONE";"A";"Come Rimarginazione I, mala perditadi sangue (PF/round) del soggetto si riducediunammontarepariallivello dell'animista.";""
"Liste di incantesimi degli Animisti";"FISIORIGENERAZIONE";"1";"CURA FERITA";"A";"Cura 1D10 Punti Ferita.";""
"Liste di incantesimi degli Animisti";"FISIORIGENERAZIONE";"2";"CURA FRATTURA MINORE (A) Saldile osione. CURA FRATTURA MINORE";"A";"Saldale ossa e cura una frattura semplice, nel giro di 1D10 ore. È inefficace contro le fratture composte, le ossa frantumate, i danni alle articolazioni o al teschio.";""
"Liste di incantesimi degli Animisti";"FISIORIGENERAZIONE";"3";"CURA MUSCOLO";"A";"Cura un muscolo danneggiato (ma non organi come il cuore), in 1D10 ore.";""
"Liste di incantesimi degli Animisti";"FISIORIGENERAZIONE";"4";"CURA CARTILAGINE";"A";"Cura, in 1D10 ore, tutte le cartilagini lesionate intorno ad un' articolazione.";""
"Liste di incantesimi degli Animisti";"FISIORIGENERAZIONE";"5";"CURA TENDINE";"A";"Cura, in 1D10 ore, un tendine lesionato.";""
"Liste di incantesimi degli Animisti";"FISIORIGENERAZIONE";"6";"CURA FRATTURA GRAVE";"A";"Saldale ossa e cura unatrattura, sempliceocomposta, nel girodi 1 U l Vo r e. E inefficace contro le ossafrantumate, i danni alle articolazioni ed al teschio.";""
"Liste di incantesimi degli Animisti";"FISIORIGENERAZIONE";"7";"REUNIONE";"A*";"Usato insieme agli incantesimi Reunione delle altre liste guarigione (Emorigenerazione e Rigenerazione Organica), consente di riattaccare un arto amputato. Il tempo di guarigione è 1D10 giorni.";""
"Liste di incantesimi degli Animisti";"FISIORIGENERAZIONE";"8";"CURA DENTE";"A";"Consente di curare ogni danno al denti: carie, ascessi, denti rotti o spaccati. Se un dente è stato estratto o strappato, l'incantesimo lo può ricostruire per intero, se è possibile recuperarne la maggior parte.";""
"Liste di incantesimi degli Animisti";"FISIORIGENERAZIONE";"9";"CURA CRANIO";"A";"Cura una frattura al teschio in 1D10 ore (ma non le parti frantumate).";""
"Liste di incantesimi degli Animisti";"FISIORIGENERAZIONE";"10";"CURA ARTICOLAZIONE";"A";"Cura una articolazione danneggiata, in 1D10 giorni (ma non se frantumata).";""
"Liste di incantesimi degli Animisti";"FLUSSO DIRETTO";"1";"CONSERVAZIONE";"A";"L'animista può conservare un corpo, evitando ogni danno o deterioramento ulteriore (es.: perditadi sangue, rotture cellulari, decomposizione, ecc.). Il soggetto, se è ancora vivo, cade in coma. L'incantesimo non può impedire la morte (cioè la separazione dell'animadal corpo).";""
"Liste di incantesimi degli Animisti";"FLUSSO DIRETTO";"2";"INTUIZIONE I";"I";"L'animista ha una visione di ciò che accadrà (probabilmente) nel prossimo minuto, se decide di intraprendere una certa azione.";""
"Liste di incantesimi degli Animisti";"FLUSSO DIRETTO";"3";"SOGNO I";"I";"L'animista ha un sogno su un argomento dalui prescelto. Deve, però dormire o meditare, per almeno 8 ore.";""
"Liste di incantesimi degli Animisti";"FLUSSO DIRETTO";"4";"BIOMANTENIMENTO";"I";"Impedisce che, al momento della morte del personaggio, l'anima abbandoni il corpo. Ciò evitala morte e permette alla vittimadi rimettersi in salute con semplici cure (per conservare il corpo occorre, però, l'incantesimo Conservazione). L'incantesimo, per sortire i detti effetti, deve essere personaggiodecedutooccorreunincantesimodi 12° ivello (Resurrezione: non contenuto in questo volume ma solo in Spell Law).";""
"Liste di incantesimi degli Animisti";"FLUSSO DIRETTO";"5";"INTUIZIONE III";"I";"Come Intuizione I mala predizione si estende ai 3 minuti successivi.";""
"Liste di incantesimi degli Animisti";"FLUSSO DIRETTO";"6";"NECROLOGIA";"I";"Consente di avere una visione degli avvenimenti relativi ad una morte, attraverso gli occhi del defunto. Si potrebbe, al limite, anche vedere il volto dell'assassino. Il corpo deve essere morto da un numero di anninon superiore al livello dell'animista chelancial' incantesimo.";""
"Liste di incantesimi degli Animisti";"FLUSSO DIRETTO";"7";"CONSERVAZIONE";"A";"Comesopra, maladurata è di un giorno/livello.";""
"Liste di incantesimi degli Animisti";"FLUSSO DIRETTO";"8";"INTUIZIONE V";"I";"Come Intuizione I, maladurata è di ungiorno / livello.";""
"Liste di incantesimi degli Animisti";"FLUSSO DIRETTO";"9";"SOGNO III";"I";"Come Sogno I ma consente di fare 3 sogni ogni 8 ore. I sogni possono riguardare argomenti diversi.";""
"Liste di incantesimi degli Animisti";"FLUSSO DIRETTO";"10";"BIOMANTENIMENTO";"A";"Comesopra, maladurata è di un giorno/livello.";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE D'INCANTESIMO";"1";"SOSPENSIONE";"A";"Questo incantesimo serve a ""sospendere"" il lancio di un incantesimo già preparato. Il personaggio deve lanciarlo subito prima di quello che intende ""immagazzinare"". L'incantesimo ""immagazzinato"" può essere lanciato in ogni round successivo, senza alcuna penalità. Il costo, in termini di Punti Magia, è lo stesso dell'incantesimo immagazzinato, ed il personaggio non può lanciare altre magie fin quando non abbia utilizzato quello già ""immagazzinato"".";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE D'INCANTESIMO";"2";"ANNULLA L'ESSENZA";"F*";"Fornisce al personaggio che lancia l'incantesimo una protezione da tutti gli attacchi provenienti da incantesimi dell'Essenza. L'attaccante, infatti, deve effettuare un TR contro Annulla l'Essenza. Se ha successo, il suo attacco procede normalmente; altrimenti non ha efficacia.";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE D'INCANTESIMO";"3";"RUNA I";"F";"Consente di trascrivere un incantesimo su un foglio di carta speciale (detta ""carta Runica""), che può essere in seguito usata per lanciare l'incantesimo trascritto (con la normale procedura). Il personaggio deve prima lanciare con successo l'incantesimo Runa e poi quello da trascrivere. Una volta utilizzata, la carta Runica può essere riutilizzata per trascrivere un nuovo incantesimo. Con il Runa I si possono trascrivere solo incantesimi di 1° livello.";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE D'INCANTESIMO";"4";"ANNULLA IL FLUSSO";"F*";"Come Annulla l'Essenza, ma è efficace solo contro gli incantesimi di Flusso";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE D'INCANTESIMO";"5";"RUNA II";"F";"Come Runa I, ma può trascrivere incantesimi di 1° e 2° livello.";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE D'INCANTESIMO";"6";"CANCELLA L'ESSENZA";"F*";"Come Annulla l'Essenza, ma gli effetti si estendono fino a 3 metri da chi lo pronuncia. Tutti gli incantesimi dell'Essenza presenti nella zona influenzata, devono effettuare un TR (con una modifica di +30). Se il tiro fallisce vengono annullati.";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE D'INCANTESIMO";"7";"RUNA III";"F";"Come Runa I, ma può trascrivere incantesimi dal 1° al 3° livello.";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE D'INCANTESIMO";"8";"CANCELLA IL FLUSSO";"F*";"Come Cancella l'Essenza, ma è efficace solo contro gli incantesimi del Flusso.";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE D'INCANTESIMO";"9";"RUNA V";"F";"Come Runa I, ma può trascrivere incantesimi dal 1° al 5° livello.";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE D'INCANTESIMO";"10";"GLIFO DI STORDIMENTO";"F";"Iscrive un ""Simbolo"" su di una superficie immobile (ad es. una croce, un pentacolo, un Ank ecc.). Il Simbolo può essere attivato da diversi procedimenti, a scelta di chi lancia l'incantesimo: ad es. dopo un periodo di tempo prestabilito; da certi movimenti; da particolari suoni; al contatto; quando viene letto ecc. Chi lo ha attivato rimane stordito per 10 MIN/10 punti di fallimento del TR";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE DELL'ESSENZA";"1";"INDIVIDUAZIONE DELL'ESSENZA";"P";"Individua ogni oggetto magico o incantesimo attivo appartenente al regno dell'Essenza. In ogni round il personaggio può concentrarsi su una zona non più grande di 1,5 m entro il raggio d'azione della magia.";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE DELL'ESSENZA";"2";"ANALISI TESTUALE I";"I";"Il personaggio può leggere un testo scritto in una lingua a lui ignota, ma comprenderne solo i concetti generali.";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE DELL'ESSENZA";"3";"INDIVIDUAZIONE DEL FLUSSO";"P";"Come Individuazione dell'Essenza, ma agisce sul regno del Flusso.";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE DELL'ESSENZA";"4";"INDIVIDUAZIONE DELL'INVISIBILE";"P";"Come Individuazione dell'Essenza, ma individua le cose invisibili. Tutti gli attacchi contro le cose invisibili diventano in tal modo possibili anche se subiscono una modifica di -50 (senza individuazione, l'attacco non sarebbe";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE DELL'ESSENZA";"5";"INDIVIDUAZIONE DELLE TRAPPOLE";"P";"Come Individuazione dell'Essenza, ma il personaggio ha il 75% di probabilità di individuare una trappola (per alcuni tipi di trappola, le probabilità possono essere modificate).";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE DELL'ESSENZA";"6";"ANALISI TESTUALE II";"I";"Come Analisi Testuale I, ma consente un'analisi tecnica del testo (vocaboli e sintassi), senza tuttavia, la possibilità di comprendere idiomi dialettali, implicazioni sottili e riferimenti razziali o culturali.";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE DELL'ESSENZA";"7";"INDIVIDUAZIONE DEL MALE";"P";"Come Individuazione dell'Essenza, ma individua se un essere o un oggetto è malvagio, oppure se un dato oggetto è stato creato dal Male, oppure se è appartenuto per un lungo periodo ad un essere particolarmente malvagio.";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE DELL'ESSENZA";"8";"RITROVARE";"P";"Indica la direzione e la distanza di un oggetto o di un luogo specifico, con cui il personaggio abbia una certa familiarità, oppure che gli sia stato dettagliatamente descritto.";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE DELL'ESSENZA";"9";"INDIVIDUAZIONE DEL MAGICO";"P";"Come Individuazione dell'Essenza, ma offre la possibilità di stimare il potere magico (livello e potenza) dell'essere o dell'oggetto che ha creato l'incantesimo esaminato.";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE DELL'ESSENZA";"10";"ANALISI";"I";"Rivela i particolari più significativi sulla costruzione di un oggetto e sulla ragione per cui è stato costruito (ma non i suoi specifici poteri).";""
"Liste di incantesimi dei Ranger";"FORMULE DI MOVIMENTO";"1";"CORSA PIETRA";"F";"Consente al Ranger di correre su superfici di pietra, fino a una pendenzadel 80%, come se fossero piane.";""
"Liste di incantesimi dei Ranger";"FORMULE DI MOVIMENTO";"2";"VIA RAMO";"F";"Consente al Ranger di camminare sui rami degli alberi in grado di reggere il suo peso, con la stessa sicurezza con la quale camminerebbe sul terreno.";""
"Liste di incantesimi dei Ranger";"FORMULE DI MOVIMENTO";"3";"NUOTO";"F*";"Consente al soggetto dinuotare senza stancarsi, né spendere energie.";""
"Liste di incantesimi dei Ranger";"FORMULE DI MOVIMENTO";"4";"VIA SABBIA";"F";"Come Corsa Pietra, ma il Ranger può correre sulla sabbia come se fosse terreno solido.";""
"Liste di incantesimi dei Ranger";"FORMULE DI MOVIMENTO";"5";"VIA ACQUA";"F";"Consente al Ranger di camminare sull'acqua come se fosse terreno asciutto. Se l'acqua è agitata possono rendersinecessari dei Tiri Manovra.";""
"Liste di incantesimi dei Ranger";"FORMULE DI MOVIMENTO";"6";"CORSÁ RAMO";"F";"Come Via Ramo, ma il Ranger può correre sui rami.";""
"Liste di incantesimi dei Ranger";"FORMULE DI MOVIMENTO";"7";"LIEVE PASSO";"F";"Il Ranger, fin quando mantiene la concentrazione, può camminare senzalasciare tracce, né altri segni visibili del s uo passaggio.";""
"Liste di incantesimi dei Ranger";"FORMULE DI MOVIMENTO";"8";"SENZA TRACCIA";"F";"Come Lieve Passo, ma il Ranger può inoltre nascondere le tracce di un altro essere del rualestaseguendo le tracce";""
"Liste di incantesimi dei Ranger";"FORMULE DI MOVIMENTO";"9";"CORSA ACQUA";"F";"Come Via Acqua, ma il Ranger può correre sull'acqua 10 TORPEDINE (F*): Come Nuoto, ma il Ranger può nuo tare alla stessa velocità con cui corre sulla terraferma.";""
"Liste di incantesimi dei Ranger";"FORMULE DI MOVIMENTO";"10";"TORPEDINE";"F*";"Come Nuoto, ma il Ranger può nuotare alla stessa velocità con cui corre sulla terraferma.";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE DI PASSAGGIO";"1";"CHIUSURA";"F";"Il personaggio può chiudere una qualsiasi serratura che sia nel suo raggio visivo e che non sia più lontana di 33 m (la serratura così chiusa potrà essere riaperta in modo normale).";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE DI PASSAGGIO";"2";"CHIUSURA MAGICA";"F";"Può ""chiudere a chiave"" magicamente una porta (o un contenitore). La porta potrà essere scardinata con la forza o l'incantesimo annullato magicamente, ma non ci sarà nessun altro modo di aprirla.";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE DI PASSAGGIO";"3";"CONOSCENZA SERRATURE";"I";"Chi lo lancia beneficia di un bonus di +20 per scassinare la serratura analizzata. Se la serratura analizzata magicamente viene descritta a qualcun altro, quest'ultimo beneficerà di un bonus di +10 all'abilità di Scassinare Serrature.";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE DI PASSAGGIO";"4";"APERTURA I";"F";"Quando viene lanciato su una serratura, vi è il 20% di probabilità di aprirla se è stata chiusa normalmente, ed il 45% se su di essa è stato lanciato un incantesimo Chiusura Magica. In caso di fallimento c'è il 10% di probabilità di attivare l'eventuale trappola connessa alla serratura. I tiri sono ""aperti"" e la qualità della serratura può modificare il risultato.";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE DI PASSAGGIO";"5";"CONOSCENZA TRAPPOLE";"I";"Come Conoscenza Serrature, ma viene usato per disattivare trappole.";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE DI PASSAGGIO";"6";"NEUTRALIZZAZIONE I";"F";"Come Apertura I, ma le probabilità si riferiscono alla disattivazione di trappole.";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE DI PASSAGGIO";"7";"DEFORMAPORTA";"F";"Fa gonfiare la porta, in modo da farla incastrare nell'apertura (tirate 1D100 per stabilire l'entità della deformazione, che può andare da un semplice attrito ad un blocco totale).";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE DI PASSAGGIO";"8";"LOGORIO";"F";"Riduce del 50% la forza strutturale di una porta.";""
"Liste aperte di incantesimi dell'Essenza";"FORMULE DI PASSAGGIO";"9";"APERTURA II";"F";"Come Apertura I, ma le probabilità di aprire salgono al 40% per serrature normali e al 90% per quelle affette da Chiusura Magica.";""
