"Categoria";"Nome";"Livello";"quantita";"velocità movimento";"VM_movimento_base";"VM_bonus_MM";"velocità_attacco";"VA_bonus_inziativa";"punti_ferita";"tipo_armatura";"bonus_difensivo";"Attacco_uno";"Attacco_uno_BO";"Attacco_due";"Attacco_due_BO";"attacco_speciale";"Dimensioni_animale";"critico_animale";"Note"
"Apsanakûni (Carnivori)";"Madratine";"2";"46024";"(MV) Med. veloce";"22,5m";"+20";"(VE) Veloce";"+40";"45";"nessuna armatura";"60";"(AR) Artigli/Unghie";"30";"(MO) Morso";"25";"";"piccolo";"normale";"Volpe notturna"
"Apsanakûni (Carnivori)";"Martora gigante";"4";"46024";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"75";"nessuna armatura";"50";"(MO) Morso";"60";"(AR) Artigli/Unghie";"50";"";"medio";"normale";"Aggressivo, feroce"
"Apsanakûni (Carnivori)";"Mastino";"3";"46030";"(MV) Med. veloce";"22,5m";"+20";"(VE) Veloce";"+40";"60";"cuoio morbido";"45";"(MO) Morso";"50";"";"";"";"medio";"normale";"Domestico, leale"
"Apsanakûni (Carnivori)";"Merisc Tyke";"1";"46215";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"55";"cuoio morbido";"40";"(MO) Morso";"45";"";"";"";"medio";"normale";"Cani selvaggi"
"Apsanakûni (Carnivori)";"Orso bianco, Megliformen";"10";"46024";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"240";"cuoio morbido";"45";"(AR) Artigli/Unghie";"75";"(MO) Morso";"90";"(sp)";"grande";"grandi";"Normale, nuotatore. Nord"
"Apsanakûni (Carnivori)";"Orso blu, Megliluini";"7";"46028";"(MV) Med. veloce";"22,5m";"+20";"(MV) Med. veloce";"+20";"200";"cuoio morbido";"25";"(PR) Immobilizzare/Afferrare/Avviluppare/Inghiottire";"80";"(AR) Artigli/Unghie";"70";"(sp)";"grande";"grandi";"Aggressivo, notturno"
"Apsanakûni (Carnivori)";"Orso di caverna,Meglirondor";"12";"46027";"(MV) Med. veloce";"22,5m";"+20";"(VE) Veloce";"+40";"300";"cuoio morbido";"40";"(UR) Urto";"95";"(AR) Artigli/Unghie";"90";"(sp)";"enorme";"grandi";"Normale, riservato"
"Apsanakûni (Carnivori)";"Orso nero, Meglivorn";"5";"46027";"(MV) Med. veloce";"22,5m";"+20";"(MV) Med. veloce";"+20";"150";"cuoio morbido";"20";"(PR) Immobilizzare/Afferrare/Avviluppare/Inghiottire";"65";"(AR) Artigli/Unghie";"60";"";"grande";"grandi";"Aggressivo, notturno"
"Apsanakûni (Carnivori)";"Orso “pigro”, bruno";"11";"46027";"(LE) Lento";"7,5m";"+5";"(ME) Medio";"+0";"325";"cuoio morbido";"10";"(UR) Urto";"100";"(AR) Artigli/Unghie";"95";"";"enorme";"grandi";"Normale, gigante"
"Apsanakûni (Carnivori)";"Segugio";"3";"46042";"(VC) Molto veloce";"37,5m";"+40";"(VE) Veloce";"+40";"65";"nessuna armatura";"40";"(MO) Morso";"45";"";"";"";"medio";"normale";"Domestico"
"Apsanakûni (Carnivori)";"Tigre";"5";"46024";"(VE) Veloce";"30m";"+30";"(MV) Med. veloce";"+20";"150";"cuoio morbido";"30";"(AR) Artigli/Unghie";"75";"(MO) Morso";"110";"";"grande";"grandi";"Aggressivo"
"Apsanakûni (Carnivori)";"Toporagno";"1";"46027";"(ME) Medio";"15m";"+10";"(VE) Veloce";"+40";"2";"cuoio rinforzato";"70";"(MI) Piccoli Animali";"45";"";"";"";"piccolissimo";"normale";"Infetto, aggressivo"
"Apsanakûni (Carnivori)";"Unca, Uncavi, leopardo";"3";"46024";"(VE) Veloce";"30m";"+30";"(MV) Med. veloce";"+20";"100";"nessuna armatura";"35";"(AR) Artigli/Unghie";"80";"(MO) Morso";"50";"";"grande";"normale";"Aggressivo"
"Apsanakûni (Carnivori)";"Undarlaif, Sciacallo";"3";"46042";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"90";"nessuna armatura";"40";"(MO) Morso";"70";"(AR) Artigli/Unghie";"30";"";"medio";"normale";"Aggressivo, nero"
"Apsanakûni (Carnivori)";"Visone nero";"1";"46032";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"50";"cuoio morbido";"60";"(MO) Morso";"50";"";"";"";"medio";"normale";"Aggressivo, feroce"
"Apsanakûni (Carnivori)";"Volpe bianca";"1";"46027";"(MV) Med. veloce";"22,5m";"+20";"(MV) Med. veloce";"+20";"40";"nessuna armatura";"60";"(MO) Morso";"35";"(AR) Artigli/Unghie";"25";"";"piccolo";"normale";"Rara, cunicoli"
"Apsanakûni (Carnivori)";"Volpe rossa";"2";"46024";"(VE) Veloce";"30m";"+30";"(VC) Molto veloce";"+60";"45";"nessuna armatura";"50";"(MO) Morso";"40";"(AR) Artigli/Unghie";"35";"";"piccolo";"normale";"Astuto, ladro"
"Apsanakûni (Carnivori)";"Vuk, Cane selvaggio";"3";"46203";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"110";"nessuna armatura";"30";"(MO) Morso";"70";"";"";"";"medio";"normale";"Aggressivo, colline"
"Apsanakûni (Carnivori)";"Warg";"5";"2-40";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"130";"cuoio morbido";"30";"(MO) Morso";"75";"(AR) Artigli/Unghie";"60";"";"medio";"normale";"Aggressivo, cavalcatura"
"Apsanakûni (Carnivori)";"Warg enorme";"8";"46132";"(VE) Veloce";"30m";"+30";"(VC) Molto veloce";"+60";"180";"cuoio morbido";"60";"(MO) Morso";"100";"(AR) Artigli/Unghie";"75";"";"grande";"normale";"Aggressivo, cavalcatura"
"Lassanakûni (Erbivori)";"Alce grande";"4";"46037";"(VE) Veloce";"30m";"+30";"(MV) Med. veloce";"+20";"190";"cuoio morbido";"35";"(CO) Corna/Zanne";"60";"(TE) Testa/Cornata";"55";"";"grande";"grandi";"Normale"
"Lassanakûni (Erbivori)";"Astabanhe, Astabanhéli";"2";"10-100";"(VC) Molto veloce";"37,5m";"+40";"(VE) Veloce";"+40";"95";"nessuna armatura";"30";"(CO) Corna/Zanne";"35";"(SC) Calpestare/Travolgere";"30";"";"medio";"normale";"Antilocapra, timido"
"Lassanakûni (Erbivori)";"Auroch, Aurych";"2";"46032";"(ME) Medio";"15m";"+10";"(ME) Medio";"+0";"140";"nessuna armatura";"20";"(CO) Corna/Zanne";"50";"(SC) Calpestare/Travolgere";"50";"";"medio";"grandi";"Bovino, passivo"
"Lassanakûni (Erbivori)";"Caprone selvatico";"3";"46024";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"60";"nessuna armatura";"25";"(CO) Corna/Zanne";"40";"(TE) Testa/Cornata";"30";"";"medio";"normale";"Normale, arrampicatore"
"Lassanakûni (Erbivori)";"Caru, Alce";"2";"20-2000";"(VC) Molto veloce";"37,5m";"+40";"(VE) Veloce";"+40";"70";"nessuna armatura";"40";"(CO) Corna/Zanne";"20";"(SC) Calpestare/Travolgere";"20";"";"medio";"normale";"Timido"
"Lassanakûni (Erbivori)";"Culcarnix";"1";"46028";"(ME) Medio";"15m";"+10";"(ME) Medio";"+0";"12";"nessuna armatura";"0";"(MO) Morso";"10";"(AR) Artigli/Unghie";"15";"";"piccolo";"normale";"Roditore scavatore"
"Lassanakûni (Erbivori)";"Cunara, Citello";"0";"10-100";"(MV) Med. veloce";"22,5m";"+20";"(ME) Medio";"+0";"10";"nessuna armatura";"10";"(MO) Morso";"5";"(AR) Artigli/Unghie";"20";"";"piccolo";"normale";"Roditore timido"
"Lassanakûni (Erbivori)";"Cervo maculato";"1";"46073";"(VE) Veloce";"30m";"+30";"(MV) Med. veloce";"+20";"50";"nessuna armatura";"45";"(CO) Corna/Zanne";"20";"(SC) Calpestare/Travolgere";"35";"";"piccolo";"normale";"Coraggioso e combattivo"
"Lassanakûni (Erbivori)";"Fiara, Capriolo";"1";"46032";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"45";"nessuna armatura";"35";"(CO) Corna/Zanne";"15";"(SC) Calpestare/Travolgere";"25";"";"piccolo";"normale";"Timido, comune"
"Lassanakûni (Erbivori)";"Fintónarki, Capra selvatica";"2";"46042";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"70";"nessuna armatura";"15";"(CO) Corna/Zanne";"50";"(TE) Testa/Cornata";"40";"";"medio";"normale";"Normale"
"Lassanakûni (Erbivori)";"Goral, Bighorn";"2";"46024";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"55";"nessuna armatura";"40";"(TE) Testa/Cornata";"50";"(SC) Calpestare/Travolgere";"45";"";"medio";"normale";"Pecora Bighorn selvatica"
"Lassanakûni (Erbivori)";"Kine di Araw (Oromë)";"5";"46032";"(ME) Medio";"15m";"+10";"(ME) Medio";"+0";"135";"nessuna armatura";"30";"(CO) Corna/Zanne";"100";"(TE) Testa/Cornata";"80";"";"grande";"grandi";"Grande bovino bianco"
"Lassanakûni (Erbivori)";"Losrandir, Cervo";"2";"10-100";"(VE) Veloce";"30m";"+30";"(MV) Med. veloce";"+20";"90";"nessuna armatura";"20";"(CO) Corna/Zanne";"40";"(SC) Calpestare/Travolgere";"35";"";"medio";"normale";"Normale, socievole"
"Lassanakûni (Erbivori)";"Nimfiara, Cervo bianco";"4";"46032";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"110";"nessuna armatura";"25";"(CO) Corna/Zanne";"55";"(SC) Calpestare/Travolgere";"65";"";"medio";"grandi";"Astuto"
"Lassanakûni (Erbivori)";"Renna";"2";"1-50";"(MV) Med. veloce";"22,5m";"+20";"(VE) Veloce";"+40";"65";"nessuna armatura";"30";"(TE) Testa/Cornata";"45";"(CO) Corna/Zanne";"40";"";"medio";"normale";"Normale"
"Lassanakûni (Erbivori)";"Rútorassi";"3";"46073";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"65";"nessuna armatura";"30";"(TE) Testa/Cornata";"60";"(SC) Calpestare/Travolgere";"50";"";"medio";"normale";"Grande pecora"
"Lassanakûni (Erbivori)";"Stetanavi, Lontra";"2";"46024";"(ME) Medio";"15m";"+10";"(VC) Molto veloce";"+60";"50";"nessuna armatura";"40";"(MO) Morso";"40";"(AR) Artigli/Unghie";"25";"";"piccolo";"normale";"Giocoso"
"Lassanakûni (Erbivori)";"Toro";"3";"1";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"150";"cuoio morbido";"10";"(CO) Corna/Zanne";"60";"(TE) Testa/Cornata";"40";"";"grande";"normale";"Normale"
"Altri animali";"Cinghiale";"3";"1";"(VE) Veloce";"30m";"+30";"(MV) Med. veloce";"+20";"120";"cuoio morbido";"30";"(CO) Corna/Zanne";"50";"(TE) Testa/Cornata";"50";"";"medio";"normale";"Aggressivo"
"Altri animali";"Cinghiale di palude";"2";"46024";"(VE) Veloce";"30m";"+30";"(MV) Med. veloce";"+20";"100";"nessuna armatura";"30";"(CO) Corna/Zanne";"40";"(TE) Testa/Cornata";"30";"";"medio";"normale";"Aggressivo"
"Altri animali";"Majmun, scimmia";"1";"2-200";"(MV) Med. veloce";"22,5m";"+20";"(VE) Veloce";"+40";"25";"nessuna armatura";"40";"(MO) Morso";"30";"";"";"";"piccolo";"normale";"Normale, vivace"
"Altri animali";"Ratto";"0";"46073";"(ME) Medio";"15m";"+10";"(MV) Med. veloce";"+20";"10";"nessuna armatura";"30";"(AR) Artigli/Unghie";"10";"(MO) Morso";"10";"";"piccolissimo";"normale";"Normale"
"Altri animali";"Rinoceronte";"7";"46024";"(MV) Med. veloce";"22,5m";"+20";"(ME) Medio";"+0";"240";"cuoio rinforzato";"20";"(CO) Corna/Zanne";"120";"(UR) Urto";"120";"";"enorme";"grandi";"Normale"
"Altri animali";"Scimmia grigia";"5";"46032";"(ME) Medio";"15m";"+10";"(VE) Veloce";"+40";"100";"nessuna armatura";"20";"(MO) Morso";"50";"(PR) Immobilizzare/Afferrare/Avviluppare/Inghiottire";"60";"";"piccolo";"normale";"Se afferra 70MO (M)"
"Altri animali";"Slirdu";"7";"46032";"(VC) Molto veloce";"37,5m";"+40";"(VE) Veloce";"+40";"240";"nessuna armatura";"30";"(PR) Immobilizzare/Afferrare/Avviluppare/Inghiottire";"95";"(CH) Chele/Becco";"120";"(sp)";"enorme";"grandi";"Specie arborea, tentacoli"
"Altri animali";"Uvag-Aak, scimmia";"6";"46027";"(ME) Medio";"15m";"+10";"(MV) Med. veloce";"+20";"140";"nessuna armatura";"20";"(UR) Urto";"90";"(PR) Immobilizzare/Afferrare/Avviluppare/Inghiottire";"65";"";"grande";"normale";"Se afferra 85MO, sangue"
"Cavalli";"Grande";"4";"";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"140";"nessuna armatura";"30";"(IM) Stritolamento";"45";"(SC) Calpestare/Travolgere";"35";"";"medio";"normale";"40 m/r"
"Cavalli";"Medio";"3";"";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"120";"nessuna armatura";"30";"(IM) Stritolamento";"35";"(SC) Calpestare/Travolgere";"25";"";"medio";"normale";"53 m/r"
"Cavalli";"Piccolo";"2";"";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"90";"nessuna armatura";"30";"(TE) Testa/Cornata";"30";"(SC) Calpestare/Travolgere";"20";"";"medio";"normale";"66 m/r"
"Cavalli";"da Guerra grande";"6";"";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"160";"nessuna armatura";"40";"(IM) Stritolamento";"60";"(SC) Calpestare/Travolgere";"50";"";"grande";"normale";"50 m/r"
"Cavalli";"da Guerra piccolo";"5";"";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"125";"nessuna armatura";"40";"(IM) Stritolamento";"50";"(SC) Calpestare/Travolgere";"40";"";"medio";"normale";"60 m/r"
"Cavalli";"Selvaggio";"4";"";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"120";"nessuna armatura";"40";"(IM) Stritolamento";"40";"(SC) Calpestare/Travolgere";"30";"";"medio";"grandi";"60 m/r"
"Cavalli";"Elfico grande";"10";"";"(SC) Saettante";"45m";"+50";"(VC) Molto veloce";"+60";"180";"cuoio morbido";"60";"(IM) Stritolamento";"95";"(SC) Calpestare/Travolgere";"80";"";"medio";"grandi";"120 m/r"
"Cavalli";"Elfico piccolo";"6";"";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"150";"nessuna armatura";"40";"(IM) Stritolamento";"60";"(SC) Calpestare/Travolgere";"50";"";"medio";"normale";"100 m/r"
"Cavalli";"di Mordor";"9";"";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"210";"cuoio morbido";"50";"(IM) Stritolamento";"110";"(SC) Calpestare/Travolgere";"95";"";"grande";"grandi";"100 m/r"
"Cavalli";"Meara";"8";"";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"170";"cuoio morbido";"50";"(IM) Stritolamento";"100";"(SC) Calpestare/Travolgere";"80";"";"medio";"grandi";"120 m/r"
"Cammelli";"Devevi corridore";"4";"";"(MV) Med. veloce";"22,5m";"+20";"(MV) Med. veloce";"+20";"130";"nessuna armatura";"30";"(MO) Morso";"30";"(TE) Testa/Cornata";"25";"";"medio";"grandi";"40 m/r"
"Cammelli";"Devevi, lavoratore";"3";"";"(ME) Medio";"15m";"+10";"(ME) Medio";"+0";"110";"nessuna armatura";"10";"(MO) Morso";"40";"(TE) Testa/Cornata";"30";"";"medio";"grandi";"33 m/r"
"Elefanti";"Andamunda";"7";"";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"325";"cuoio rinforzato";"30";"(UR) Urto";"80";"(SC) Calpestare/Travolgere";"80";"";"enorme";"grandi";"26 m/r"
"Elefanti";"Losandamunda";"7";"";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"350";"cuoio rinforzato";"25";"(UR) Urto";"85";"(SC) Calpestare/Travolgere";"85";"";"enorme";"grandi";"26 m/r"
"Elefanti";"Mùmakil";"7";"";"(MV) Med. veloce";"22,5m";"+20";"(VE) Veloce";"+40";"400";"cuoio rinforzato";"25";"(UR) Urto";"95";"(SC) Calpestare/Travolgere";"95";"";"enorme";"grandi";"30 m/r"
"Altro?";"Bue";"3";"";"(ME) Medio";"15m";"+10";"(ME) Medio";"+0";"140";"nessuna armatura";"20";"(CO) Corna/Zanne";"50";"(SC) Calpestare/Travolgere";"50";"";"medio";"grandi";"30 m/r"
"Altro?";"Mulo/Somaro";"3";"";"(ME) Medio";"15m";"+10";"(MV) Med. veloce";"+20";"75";"nessuna armatura";"20";"(TE) Testa/Cornata";"30";"(SC) Calpestare/Travolgere";"20";"";"medio";"normale";"40 m/r"
"Altro?";"Pony adulto";"2";"";"(VE) Veloce";"30m";"+30";"(MV) Med. veloce";"+20";"65";"nessuna armatura";"25";"(TE) Testa/Cornata";"30";"(SC) Calpestare/Travolgere";"20";"";"medio";"normale";"46 m/r"
"Altro?";"Pony delle paludi";"2";"";"(VE) Veloce";"30m";"+30";"(MV) Med. veloce";"+20";"100";"nessuna armatura";"50";"(TE) Testa/Cornata";"30";"(SC) Calpestare/Travolgere";"30";"";"medio";"normale";"46 m/r"
"Altro?";"Zurafy, Collolungo";"6";"";"(MV) Med. veloce";"22,5m";"+20";"(VE) Veloce";"+40";"135";"nessuna armatura";"45";"(CO) Corna/Zanne";"75";"(IM) Stritolamento";"60";"";"medio";"grandi";"46 m/r"
"Mostri acquatici";"Balena demoniaca";"9";"46027";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"500";"cuoio morbido";"25";"(UR) Urto";"120";"(MO) Morso";"150";"";"enorme";"grandi";"Bianca, ghiacci"
"Mostri acquatici";"Faistitycelyn";"15";"1";"(ME) Medio";"15m";"+10";"(ME) Medio";"+0";"250";"corazza piastre";"35";"(CH) Chele/Becco";"120";"(UR) Urto";"140";"";"enorme";"enormi";"Rara tartaruga gigante"
"Mostri acquatici";"Kraken medio";"25";"1";"(ME) Medio";"15m";"+10";"(ME) Medio";"+0";"300";"cuoio morbido";"40";"(PR) Immobilizzare/Afferrare/Avviluppare/Inghiottire";"125";"(CH) Chele/Becco";"125";"(sp)";"grande";"grandi";"1-5 attacchi/r"
"Mostri acquatici";"Kraken piccolo";"15";"1";"(MV) Med. veloce";"22,5m";"+20";"(ME) Medio";"+0";"150";"nessuna armatura";"50";"(PR) Immobilizzare/Afferrare/Avviluppare/Inghiottire";"75";"(CH) Chele/Becco";"75";"(sp)";"medio";"grandi";"1-5 attacchi/r"
"Mostri acquatici";"Mascelle rosse";"4";"46032";"(VE) Veloce";"30m";"+30";"(VC) Molto veloce";"+60";"90";"cuoio morbido";"35";"(MO) Morso";"90";"(PR) Immobilizzare/Afferrare/Avviluppare/Inghiottire";"50";"";"grande";"normale";"Pesce delle profondità"
"Mostri acquatici";"Ninevet, anfibio gigante";"5";"1";"(ME) Medio";"15m";"+10";"(VC) Molto veloce";"+60";"130";"cuoio morbido";"10";"(UR) Urto";"70";"(PR) Immobilizzare/Afferrare/Avviluppare/Inghiottire";"80";"";"grande";"enormi";"Se cattura, affoga"
"Mostri acquatici";"Osservatore dell’acqua";"35";"1";"(ME) Medio";"15m";"+10";"(ME) Medio";"+0";"400";"cuoio rinforzato";"40";"(PR) Immobilizzare/Afferrare/Avviluppare/Inghiottire";"150";"(CH) Chele/Becco";"150";"(sp)";"enorme";"enormi";"Kraken, 1-6 attacchi/r"
"Mostri acquatici";"Vodyanoi";"1";"46024";"(MV) Med. veloce";"22,5m";"+20";"(MV) Med. veloce";"+20";"55";"cuoio morbido";"35";"(MO) Morso";"60";"";"";"(sp)";"enorme";"normale";"Anfibio. Ipnotizza lv5"
"Alberi";"Albero malvagio, radice";"3";"46032";"";"";"";"(ME) Medio";"+0";"50";"cuoio rinforzato";"10";"(PR) Immobilizzare/Afferrare/Avviluppare/Inghiottire";"20";"";"";"(sp)";"piccolo";"normale";"Affamato"
"Alberi";"Ucorni";"20";"46042";"(ML) Molto lento";"4,5m";"+0";"(ML) Molto lento";"-40";"350";"corazza maglie";"20";"(UR) Urto";"75";"(PR) Immobilizzare/Afferrare/Avviluppare/Inghiottire";"60";"(sp)";"grande";"enormi";"Se afferra 90IM (G)"
"Alberi";"Ucorno malvagio";"25";"46027";"(ML) Molto lento";"4,5m";"+0";"(ML) Molto lento";"-40";"400";"corazza piastre";"0";"(UR) Urto";"80";"(PR) Immobilizzare/Afferrare/Avviluppare/Inghiottire";"70";"(sp)";"enorme";"grandi";"Se afferra 100IM (E)"
"Alberi";"Ent, Onodrim";"35";"46024";"(VE) Veloce";"30m";"+30";"(LE) Lento";"-20";"400";"corazza piastre";"30";"(CA) Caduta";"170";"(PR) Immobilizzare/Afferrare/Avviluppare/Inghiottire";"160";"(sp)";"enorme";"enormi";"Se afferra 150IM (E)"
"Demoni";"Balrog";"60";"1";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"400";"corazza piastre";"90";"(BO) Botta";"275";"(LO) Lotta/Placcaggio";"120";"(sp)";"enorme";"enormi";"Speciale, magia"
"Demoni";"Demone (I° Cerchia)";"1";"1";"(MV) Med. veloce";"22,5m";"+20";"(VE) Veloce";"+40";"35";"nessuna armatura";"20";"(ZA) Zanne e Artigli";"40";"(UR) Urto";"30";"(sp)";"medio";"normale";"Servi, istintivo"
"Demoni";"Demone (II° Cerchia)";"4";"1";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"60";"nessuna armatura";"30";"(ZA) Zanne e Artigli";"50";"(UR) Urto";"40";"(sp)";"medio";"normale";"Ostile, affinità acqua"
"Demoni";"Demone (III° Cerchia)";"8";"1";"(MV) Med. veloce";"22,5m";"+20";"(VE) Veloce";"+40";"120";"cuoio morbido";"50";"(ZA) Zanne e Artigli";"60";"(UR) Urto";"70";"(sp)";"medio";"normale";"Ostile, volo"
"Demoni";"Demone (IV° Cerchia)";"13";"1";"(SC) Saettante";"45m";"+50";"(VE) Veloce";"+40";"200";"cuoio morbido";"60";"(BO) Botta";"60";"(IM) Stritolamento";"130";"(sp)";"grande";"grandi";"Folle, magia"
"Demoni";"Demone (V° Cerchia)";"18";"1";"(MV) Med. veloce";"22,5m";"+20";"(VE) Veloce";"+40";"300";"cuoio rinforzato";"50";"(UR) Urto";"150";"(AR) Artigli/Unghie";"140";"(sp)";"grande";"grandi";"Dominatore, magia"
"Demoni";"Demone (VI° Cerchia)";"27";"1";"(MV) Med. veloce";"22,5m";"+20";"(VE) Veloce";"+40";"250";"corazza maglie";"60";"(ZA) Zanne e Artigli";"180";"(UR) Urto";"150";"(sp)";"grande";"grandi";"Crudele, astuto. Speciale"
"Demoni";"Lassarauka minore";"15";"46027";"(SC) Saettante";"45m";"+50";"(SC) Saettante";"+80";"175";"cuoio rinforzato";"50";"(BO) Botta";"120";"(sp) veleno";"";"(sp)";"enorme";"grandi";"Demone delle foglie"
"Demoni";"Lassarauka maggiore";"25";"1";"(SC) Saettante";"45m";"+50";"(SC) Saettante";"+80";"225";"cuoio rinforzato";"50";"(BO) Botta";"150";"(sp) incantesimo";"1000";"(sp)";"enorme";"grandi";"Demone delle foglie"
"Demoni";"Lupo Mannaro";"12";"1";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"250";"cuoio morbido";"75";"(MO) Morso";"120";"(AR) Artigli/Unghie";"100";"(sp)";"grande";"grandi";"Ostile, malvagio"
"Demoni";"Vampiro di Morgoth";"25";"1";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"210";"nessuna armatura";"80";"(AR) Artigli/Unghie";"100";"(MO) Morso";"90";"(sp)";"grande";"grandi";"Magia, Illusione"
"Draghi";"Bestie volanti";"20";"46032";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"240";"cuoio rinforzato";"50";"(AR) Artigli/Unghie";"90";"(UR) Urto";"90";"(sp)";"enorme";"grandi";"Cavalcature di spettri"
"Draghi";"Drago d’acqua";"18";"1";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"240";"corazza piastre";"40";"(UR) Urto";"150";"(PR) Immobilizzare/Afferrare/Avviluppare/Inghiottire";"120";"";"enorme";"enormi";"Soffio 100 acqua"
"Draghi";"Drago di caverna";"13";"1";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"250";"corazza piastre";"40";"(MO) Morso";"90";"(CO) Corna/Zanne";"80";"(sp)";"enorme";"enormi";"Piccolo drago del freddo"
"Draghi";"Drago del freddo";"30";"1";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"500";"corazza piastre";"50";"(MO) Morso";"120";"(AR) Artigli/Unghie";"120";"(sp)";"enorme";"enormi";"Senza ali"
"Draghi";"Drago del freddo alato";"30";"1";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"500";"corazza piastre";"60";"(MO) Morso";"90";"(AR) Artigli/Unghie";"130";"(sp)";"enorme";"enormi";"Abile nel volo, Soffio 60 fr"
"Draghi";"Drago di fuoco";"35";"1";"(VC) Molto veloce";"37,5m";"+40";"(VE) Veloce";"+40";"450";"corazza maglie";"50";"(MO) Morso";"100";"(AR) Artigli/Unghie";"140";"(sp)";"enorme";"enormi";"Magia, Soffio 100 ca"
"Draghi";"Drago del ghiaccio";"30";"1";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"450";"corazza piastre";"55";"(MO) Morso";"110";"(AR) Artigli/Unghie";"110";"(sp)";"enorme";"enormi";"Nuotatore, Soffio 90 fr"
"Draghi";"Drago di palude, gas";"15";"1";"(SC) Saettante";"45m";"+50";"(VC) Molto veloce";"+60";"200";"cuoio rinforzato";"50";"(MO) Morso";"60";"(AR) Artigli/Unghie";"110";"(sp)";"enorme";"enormi";"Piccolo, Soffio 60 veleno"
"Draghi";"Drago della pioggia";"12";"1";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"200";"cuoio rinforzato";"40";"(MO) Morso";"100";"(AR) Artigli/Unghie";"70";"(sp)";"enorme";"enormi";"Piccolo drago d’acqua"
"Draghi";"Drago di sabbia";"8";"1";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"150";"nessuna armatura";"25";"(MO) Morso";"100";"(UR) Urto";"90";"";"enorme";"enormi";"Alato, mutaforma"
"Draghi";"Drago di terra";"18";"1";"(VC) Molto veloce";"37,5m";"+40";"(VE) Veloce";"+40";"350";"corazza piastre";"40";"(MO) Morso";"100";"(AR) Artigli/Unghie";"100";"(sp)";"enorme";"enormi";"Piccolo drago del freddo"
"Draghi";"Verme di caverna";"10";"1";"(LE) Lento";"7,5m";"+5";"(ME) Medio";"+0";"160";"cuoio rinforzato";"20";"(PR) Immobilizzare/Afferrare/Avviluppare/Inghiottire";"90";"(CO) Corna/Zanne";"110";"(sp)";"enorme";"enormi";"Senza zampe, del freddo"
"Draghi";"Verme selvaggio";"8";"1";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"350";"cuoio rinforzato";"50";"(MO) Morso";"110";"(AR) Artigli/Unghie";"90";"";"enorme";"enormi";"Magia, mutaforma"
"Razze giganti";"Gigante minore";"12";"46027";"(LE) Lento";"7,5m";"+5";"(ME) Medio";"+0";"250";"cuoio rinforzato";"20";"(BO) Botta";"95";"(CA) Caduta";"110";"(sp)";"enorme";"grandi";"Scaglia pietre 175 (G)"
"Razze giganti";"Gigante maggiore";"20";"46025";"(LE) Lento";"7,5m";"+5";"(ME) Medio";"+0";"350";"cuoio rinforzato";"30";"(BO) Botta";"140";"(CA) Caduta";"130";"(sp)";"enorme";"enormi";"Scaglia pietre 190 (E)"
